date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01-01-2021,6.4,2.2,13.7,,,0,0,,1018.3,
02-01-2021,9.9,2.6,14,4.3,,2,0.2,,1017.9,
03-01-2021,14.3,11.3,18,20.7,,35,4.1,,1015,
04-01-2021,16.4,11,19.2,13.3,,39,5.2,,1016.7,
05-01-2021,15.6,13,19.9,7.9,,23,2.1,,1015.8,
06-01-2021,14.2,12.4,16.8,13,,352,1.8,,1016.5,
07-01-2021,12.2,9,17,0,,345,0.9,,1015.7,
08-01-2021,12.1,10,16.3,0,,18,0.6,,1015.3,
09-01-2021,10.8,9.4,16.3,0,,325,3.4,,1017.4,
10-01-2021,9.8,8.8,13,0,,353,0.5,,1017.2,
11-01-2021,8.3,7.2,12,0,,326,2.4,,1017.5,
12-01-2021,8.6,6.4,14.7,0,,323,3.6,,1017.3,
13-01-2021,9.2,3.5,14,0,,9,1.6,,1016.2,
14-01-2021,9,5.5,15.8,0,,34,2,,1016.9,
15-01-2021,8.8,4.8,12.9,0,,2,0.4,,1015.4,
16-01-2021,8.2,6.5,12.4,0,,345,1.7,,1014.5,
17-01-2021,7.8,4.7,13.6,0,,46,3.5,,1015.9,
18-01-2021,9.1,5.2,18.1,0,,11,2.8,,1017.8,
19-01-2021,12,5,20,0,,314,5.8,,1015,
20-01-2021,8.8,5,20,0,,321,2.9,,1014.7,
21-01-2021,8.1,3.4,17.8,0,,347,3.4,,1013.4,
22-01-2021,10.3,5.8,17.5,0,,78,4.8,,1013.9,
23-01-2021,11.2,7.8,15.8,5.1,,111,7.6,,1012.1,
24-01-2021,10.4,6,17.6,0,,344,2.9,,1016.9,
25-01-2021,11.2,4.4,18.2,0,,319,4.5,,1018.1,
26-01-2021,11.1,3.8,19.2,0,,345,1.8,,1017.9,
27-01-2021,10.6,1.4,19.8,0,,342,2.3,,1017.6,
28-01-2021,10.8,2.4,20,0,,350,1.7,,1018.2,
29-01-2021,10.8,4,20.4,0,,339,2.7,,1018.9,
30-01-2021,10.5,1.2,19.6,0,,330,2,,1017,
31-01-2021,12.2,3.2,20,0,,353,0.5,,1017.2,
01-02-2021,12.1,5,20.4,0,,347,2.7,,1019.8,
02-02-2021,13.7,3.2,21,0.1,,344,1.6,,1017.6,
03-02-2021,14.7,9.6,21.6,2,,33,8.5,,1016.8,
04-02-2021,12.3,8,21.6,0.5,,41,8.3,,1018.4,
05-02-2021,12.8,6.8,19,0,,355,3.8,,1019.3,
06-02-2021,13.2,6,20.7,0,,336,4.7,,1018.9,
07-02-2021,13.9,5.6,21,0,,329,3.3,,1018,
08-02-2021,13.9,5.5,22,0,,346,2.8,,1018,
09-02-2021,14.6,7.4,22,0,,348,2,,1014.5,
10-02-2021,14.3,9.4,22.1,0,,329,0.9,,1014.2,
11-02-2021,13.8,11,20,0,,359,0.6,,1014.6,
12-02-2021,13.6,11,20,0,,11,0.2,,1015.3,
13-02-2021,14.7,11,21,0,,70,0.5,,1015.4,
14-02-2021,13.4,11,21.2,0,,359,1.7,,1015.5,
15-02-2021,13.4,9.6,19.4,0,,356,0.6,,1013.8,
16-02-2021,14.1,12.6,18,0,,0,2.5,,1013.7,
17-02-2021,14,10.8,21,0,,354,0.8,,1014.9,
18-02-2021,14.2,11,22,0,,348,1.5,,1017.9,
19-02-2021,15.3,9,23,0,,343,1.9,,1019.9,
20-02-2021,15.1,11,23,0,,9,2.5,,1019.3,
21-02-2021,14.8,8.8,24,0,,322,4.1,,1017.6,
22-02-2021,17.9,9.8,26,0,,357,2.2,,1015.5,
23-02-2021,19.2,11.2,27.2,0,,39,3.9,,1012.7,
24-02-2021,19.2,10.8,27.8,0,,358,3.4,,1011.7,
25-02-2021,20.6,12.2,29.6,0,,351,5.9,,1010.5,
26-02-2021,21.9,13.8,29.8,0.5,,37,4.4,,1006.9,
27-02-2021,19.3,16,29.5,0.1,,161,11.9,,1005.9,
28-02-2021,17.5,10.5,25.3,0,,341,3.2,,1011.4,
01-03-2021,17.7,9.8,25.8,0,,335,4.8,,1014.8,
02-03-2021,18.1,10,26.6,0,,306,7,,1014.8,
03-03-2021,18.6,9,27.2,0,,339,4.1,,1012.5,
04-03-2021,19.3,12,27,0,,359,4.1,,1012.8,
05-03-2021,19.2,11.4,28,0,,313,8.1,,1012.5,
06-03-2021,21.2,10.4,29,0,,342,7,,1011,
07-03-2021,19.6,17,28.7,0.3,,72,10.3,,1009.4,
08-03-2021,20.4,14,27,0,,50,9.9,,1012.1,
09-03-2021,21.4,13.2,29,0,,8,5.5,,1013.1,
10-03-2021,21.1,16,29.1,0,,339,5,,1012.9,
11-03-2021,20.9,13,30.2,0,,29,10.4,,1013.4,
12-03-2021,17.7,14.4,30.4,0.3,,10,17,,1017,
13-03-2021,18.9,12.8,27.4,0,,326,6.6,,1017.2,
14-03-2021,20.3,12.8,27.8,0,,326,5.6,,1013.3,
15-03-2021,19.9,13.2,28.2,0,,313,6.6,,1012.5,
16-03-2021,21.2,14,29,0,,325,5.8,,1012.7,
17-03-2021,21.4,14,29.1,0,,340,5,,1011.2,
18-03-2021,22,14.5,29.4,0,,333,6.2,,1011.6,
19-03-2021,22.2,15,30,0,,322,6.7,,1011.2,
20-03-2021,22.4,14,32,0,,326,4.6,,1009.1,
21-03-2021,18.9,15.4,31.6,0.2,,104,10.3,,1009.7,
